Ref,Val,Package,PosX,PosY,Rot,Side
"R34","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",89.000000,-100.000000,0.000000,top
"R35","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",98.000000,-100.000000,0.000000,top
"R36","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",107.000000,-100.000000,0.000000,top
"R37","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",116.000000,-100.000000,0.000000,top
"R38","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",125.000000,-100.000000,0.000000,top
"R39","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",134.000000,-100.000000,0.000000,top
"R40","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",143.000000,-100.000000,0.000000,top
"R41","6.8k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",71.000000,-109.000000,0.000000,top
"R42","39k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",26.000000,-109.000000,0.000000,top
"R43","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",35.000000,-109.000000,0.000000,top
"R44","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",44.000000,-118.000000,0.000000,top
"R45","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",80.000000,-109.000000,0.000000,top
"R46","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",53.000000,-118.000000,0.000000,top
"R47","68k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",89.000000,-109.000000,0.000000,top
"R48","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",98.000000,-109.000000,0.000000,top
"R49","22k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",134.000000,-109.000000,0.000000,top
"R50","22k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",107.000000,-109.000000,0.000000,top
"R51","22k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",143.000000,-109.000000,0.000000,top
"R52","22k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",26.000000,-118.000000,0.000000,top
"RV1","100k","Potentiometer_Alps_RK097_Single_Horizontal",30.000000,-13.000000,0.000000,top
"RV2","100k","Potentiometer_Alps_RK097_Single_Horizontal",65.000000,-13.000000,0.000000,top
"RV3","100k","Potentiometer_Alps_RK097_Single_Horizontal",100.000000,-13.000000,0.000000,top
"RV4","100k","Potentiometer_Alps_RK097_Dual_Horizontal",135.000000,-13.000000,0.000000,top
"U1","TL074","DIP-14_W7.62mm",30.000000,-38.000000,0.000000,top
"U2","TL074","DIP-14_W7.62mm",48.000000,-38.000000,0.000000,top
"U3","TL074","DIP-14_W7.62mm",66.000000,-38.000000,0.000000,top
"U4","TL074","DIP-14_W7.62mm",84.000000,-38.000000,0.000000,top
"U5","TL074","DIP-14_W7.62mm",102.000000,-38.000000,0.000000,top
"U6","TL074","DIP-14_W7.62mm",120.000000,-38.000000,0.000000,top
"U7","LM13700","DIP-16_W7.62mm",138.000000,-38.000000,0.000000,top
